shelf_id,parent_path,subindex,fill,x,y,w,h,cx,cy
shelf_path114_093,path114,93,#ddd9c3,80.16,324.96,172.8,3.2000000000000455,166.56,326.56
shelf_path114_094,path114,94,#ddd9c3,80.16,431.68,192.16,3.1999999999999886,176.24,433.28
shelf_path114_095,path114,95,#ddd9c3,80.16,426.56,192.16,4.160000000000025,176.24,428.64
shelf_path114_096,path114,96,#ddd9c3,80.16,389.92,184.96,4.159999999999968,172.64,392.0
shelf_path114_097,path114,97,#ddd9c3,80.16,385.92,184.96,3.1999999999999886,172.64,387.52
shelf_path114_098,path114,98,#ddd9c3,80.16,349.44,172.8,4.160000000000025,166.56,351.52
shelf_path114_099,path114,99,#ddd9c3,80.16,344.32,172.8,4.160000000000025,166.56,346.4
shelf_path114_100,path114,100,#ddd9c3,80.16,288.48,195.20000000000002,3.1999999999999886,177.76,290.08000000000004
shelf_path114_101,path114,101,#ddd9c3,80.16,283.36,195.20000000000002,4.159999999999968,177.76,285.44
shelf_path114_102,path114,102,#ddd9c3,80.16,717.28,178.88000000000002,4.160000000000082,169.60000000000002,719.36
shelf_path114_103,path114,103,#ddd9c3,80.16,713.12,178.88000000000002,3.2000000000000455,169.60000000000002,714.72
shelf_path114_104,path114,104,#ddd9c3,80.16,696.96,178.88000000000002,4.159999999999968,169.60000000000002,699.04
shelf_path114_105,path114,105,#ddd9c3,80.16,691.84,178.88000000000002,3.199999999999932,169.60000000000002,693.44
shelf_path175_001,path175,1,#ddd9c3,850.56,646.24,5.1200000000000045,87.36000000000001,853.1199999999999,689.9200000000001
shelf_path175_002,path175,2,#ddd9c3,856.64,646.24,5.1200000000000045,87.36000000000001,859.2,689.9200000000001
shelf_path175_003,path175,3,#ddd9c3,868.8,646.24,5.1200000000000045,87.36000000000001,871.3599999999999,689.9200000000001
shelf_path175_004,path175,4,#ddd9c3,874.88,646.24,5.1200000000000045,87.36000000000001,877.44,689.9200000000001
shelf_path175_005,path175,5,#ddd9c3,811.84,646.24,5.1200000000000045,87.36000000000001,814.4000000000001,689.9200000000001
shelf_path175_006,path175,6,#ddd9c3,818.08,646.24,5.1200000000000045,87.36000000000001,820.6400000000001,689.9200000000001
shelf_path175_007,path175,7,#ddd9c3,831.2,646.24,5.1200000000000045,87.36000000000001,833.76,689.9200000000001
shelf_path175_008,path175,8,#ddd9c3,837.28,646.24,5.1200000000000045,87.36000000000001,839.8399999999999,689.9200000000001
shelf_path175_009,path175,9,#ddd9c3,774.4,646.24,5.1200000000000045,87.36000000000001,776.96,689.9200000000001
shelf_path175_010,path175,10,#ddd9c3,780.48,646.24,5.1200000000000045,87.36000000000001,783.04,689.9200000000001
shelf_path175_011,path175,11,#ddd9c3,793.6,646.24,5.1200000000000045,87.36000000000001,796.1600000000001,689.9200000000001
shelf_path175_012,path175,12,#ddd9c3,799.68,646.24,5.1200000000000045,87.36000000000001,802.24,689.9200000000001
shelf_path175_013,path175,13,#ddd9c3,736.64,646.24,5.1200000000000045,87.36000000000001,739.2,689.9200000000001
shelf_path175_014,path175,14,#ddd9c3,742.72,646.24,5.1200000000000045,87.36000000000001,745.28,689.9200000000001
shelf_path175_015,path175,15,#ddd9c3,755.84,646.24,4.159999999999968,87.36000000000001,757.9200000000001,689.9200000000001
shelf_path175_016,path175,16,#ddd9c3,760.96,646.24,5.1200000000000045,87.36000000000001,763.52,689.9200000000001
shelf_path283_001,path283,1,#ddd9c3,819.04,381.92,57.92000000000007,4.159999999999968,848.0,384.0
shelf_path283_002,path283,2,#ddd9c3,819.04,372.8,57.92000000000007,4.159999999999968,848.0,374.88
shelf_path283_003,path283,3,#ddd9c3,819.04,367.68,57.92000000000007,4.159999999999968,848.0,369.76
shelf_path283_004,path283,4,#ddd9c3,819.04,358.56,57.92000000000007,4.160000000000025,848.0,360.64
shelf_path283_005,path283,5,#ddd9c3,819.04,353.44,57.92000000000007,4.160000000000025,848.0,355.52
shelf_path283_006,path283,6,#ddd9c3,819.04,344.32,57.92000000000007,3.1999999999999886,848.0,345.91999999999996
shelf_path283_007,path283,7,#ddd9c3,819.04,339.2,57.92000000000007,4.160000000000025,848.0,341.28
shelf_path283_008,path283,8,#ddd9c3,819.04,330.08,57.92000000000007,3.1999999999999886,848.0,331.67999999999995
shelf_path283_009,path283,9,#ddd9c3,819.04,324.96,57.92000000000007,4.160000000000025,848.0,327.03999999999996
shelf_path283_010,path283,10,#ddd9c3,819.04,315.84,57.92000000000007,3.2000000000000455,848.0,317.44
shelf_path283_011,path283,11,#ddd9c3,819.04,310.72,57.92000000000007,4.159999999999968,848.0,312.8
shelf_path283_012,path283,12,#ddd9c3,819.04,301.6,57.92000000000007,4.159999999999968,848.0,303.68
shelf_path283_013,path283,13,#ddd9c3,819.04,297.6,57.92000000000007,3.1999999999999886,848.0,299.20000000000005
