libraryName,collectionName,collectionNameHe,rangeStart,rangeEnd,svgCode,description,descriptionHe,floor,shelfLabel,shelfLabelHe,notes,notesHe
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",973.03,973.56,ka1_45_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,45 A,45 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",973.561,973.91,ka1_45_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,45 B,45 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",973.91,973.923,ka1_46_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,46 A,46 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",973.923,979.494,ka1_46_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,46 B,46 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",979.494,985.06,ka1_47_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,47 A,47 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",985.06,999,ka1_47_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,47 B,47 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",297,297.0193,ka1_47_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,47 B,47 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",297.0193,297.2,ka1_48_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,48 A,48 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",297.2,297.5,ka1_48_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,48 B,48 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",297.5,297.5,ka1_49_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,49 A,49 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",297.5,297.661,ka1_49_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,49 B,49 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",297.661,297.83,ka1_50_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,50 A,50 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",297.83,297.8503,ka1_50_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,50 B,50 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",297.8503,297.861,ka1_51_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,51 A,51 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",297.861,297.92,ka1_51_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,51 B,51 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",492.7,492.709,ka1_51_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,51 B,51 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",492.709,792.75,ka1_52_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,52 A,52 א',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",492.705,492.787,ka1_52_b,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,52 B,52 ב',,
Sourasky Central Library,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",892.7008,892.703,ka1_52_a,Reading room 1 A - 1st floor,"אולם קריאה א'1, קומה ראשונה",1,52 B,52 ב',,
